schoolName,Physical address,Postal address,Email,Phone Number,Principal,Website
Our Lady of the Sacred Heart Catholic College - Bath Street Campus,"5 Bath St, Alice Springs, NT","PO Box 2508, Alice Springs, 0871, NT",admin.olshalice@nt.catholic.edu.au,(08) 8950 6400,,
Our Lady of the Sacred Heart Catholic College,"8 Traeger Ave, Alice Springs, NT","PO Box 2508, Alice Springs, 0871, NT",admin.olshalice@nt.catholic.edu.au,(08) 8950 6400,,
O'Loughlin Catholic College,"70 Mueller Rd, Karama, NT","P O Box 41911, Casuarina, 0811, NT",secretary.oloughlin@nt.catholic.edu.au,(08) 8945 1277,,
Nyirripi School,"N/A, Nyirripi, NT","PMB 125, via Alice Springs, 0872, NT",clarice.oleary@education.nt.gov.au,(08) 8956 8880,,
Nyangatjatjara College - Mutitjulu Campus,"1680 Uluru Rd, Yulara, NT","PO Box 171, Yulara, 0872, NT",ceo@nyangatjatjaracollege.or.au,(08) 8956 2555,,
Nyangatjatjara College - Imanpa Campus,"8 Mumu Rd (7-10), Imanpa, NT","PO Box 171, Yulara, 0872, NT",ceo@nyangatjatjaracollege.org.au,(08) 8956 7038,,
Nyangatjatjara College - Docker Rvr Campus,"4 Tjala Place, Kaltukatjara (Docker River), NT","PO Box 171, Yulara, 0872, NT",ceo@nyangatjatjaracollege.org.au,(08) 8956 7098,,
Nyangatjatjara College,"n/a, Kaltukatjara, NT","PO Box 171, Yulara, 0872, NT",ncollege@octa4.net.au,(08) 8956 2257,,
Numbulwar School,"N/A, Numbulwar, NT","PMB 68, WINELLIE, 0822, NT",numbulwar.school@education.nt.gov.au,(08) 8975 4650,,
Ntaria School,"N/A, Hermannsburg (Ntaria), NT","PMB 4, via Alice Springs, 0872, NT",kim.omar@education.nt.gov.au,(08) 8956 7424,,
Numbulwar Pre School,"N/A, Numbulwar, NT",", , , ",,(08) 8975 4650,,
NT Christian College,", Marrara, NT","PO Box 84, Karama, 0812, Unit 1 Strath Village, 43 Berrimah Road NT",admin.ntcc@ntschools.net,(08) 8920 2000,,
Northern Territory School of Distance Education,"The Bullocky Point Education Precinct, Atkins Dr, The Gardens, 0820, NT","PO Box 40471, Casuarina, 0811, NT",ntsde.admin@education.nt.gov.au,(08) 892 22222,,
NT Music School,"60 Matthews Rd, Wulagi 0812, NT","PO Box 455, Sanderson, 0813, NT",nt.musicschool@education.nt.gov.au,(08) 896 35550,,
Nightcliff Pre School,"17 Pandanus St, Nightcliff, NT",", , , ",,(08) 8948 8488,,
Nightcliff Primary School,"17 Pandanus St, Nightcliff, 0810, NT","PO BOX 798, NIGHTCLIFF, 0810, NT",nightcliff.ps@education.nt.gov.au,(08) 8948 8488,,
Nightcliff Middle School,"90 Aralia St, Rapid Creek, 0810, NT","90 Aralia St, NIGHTCLIFF, 0810, NT",admin.nightms@education.nt.gov.au,(08) 898 37677,,
Nhulunbuy Primary School,"60 Chesterfield Cct, Nhulunbuy, 0880, NT","PO Box 321, NHULUNBUY, 0881, NT",nps.frontoffice@education.nt.gov.au,(08) 898 70022,,
Nhulunbuy Pre School,"36 Chesterfield Cct, Nhulunbuy, NT",", , , ",,(08) 8987 1056,,
Nhulunbuy Christian College,"26 Eugenia Avenue, Nhulunbuy, NT","PO Box 621, Nhulunbuy, 0881, NT",admin.ncc@ntschools.net,(08) 8965 2900,,
Ngukurr Pre School,"Bawuda St, Ngukurr, NT",", , , ",,(08) 8975 4680,,
Nhulunbuy High School,"51 Matthew Flinders Way, Nhulunbuy, 0880, NT","PO Box 1096, NHULUNBUY, 0881, NT",nhulunbuy.high@education.nt.gov.au,(08) 898 70844,,
Ngukurr School,"Bawuda St, Ngukurr, 0852, NT","PMB 138, KATHERINE, 0851, NT",ngukurr.cec@education.nt.gov.au,(08) 8975 4680,,
Nganambala School,"n/a, Emu Point, NT","PMB 218, Via Winnellie, 0822, NT",samuel.sailor@education.nt.gov.au,(08) 8978 2001,,
Nganmarriyanga School,"N/A, Palumpa, NT","PMB 85, via WINNELLIE, 0822, NT",tracy.brislane@education.nt.gov.au,(08) 8978 2380,,
Newcastle Waters School,"11 Drovers Dr, Newcastle Waters, NT","Newcastle Waters Station, via Elliott, 0862, NT",dave.oke@education.nt.gov.au,(08) 8964 4566,,
Nawardekken Academy Kabulwarnamyo School,"Building 2, Kabulwarnamyo, tba, NT","tba, PO Box 37620 Winnellie  NT, 0821, NT",admin@nawarddeken.org.au,0427 816 431,,
Neutral Junction School,"Stuart Hwy, Neutral Junction, NT","Neutral Junction, via Alice Springs, 0872, NT",ruth.rawnsley@education.nt.gov.au,(08) 8956 9754,,
Nathalie Gorey Pre School,"80 Spearwood Rd, Alice Springs, NT",", , , ",,(08) 8952 1186,,
Nemarluk School,"30 Styles St, Alawa, 0810, NT","PO Box 39729, WINNELLIE, 0821, NT",admin.nemarluk@education.nt.gov.au,(08) 898 50400,,
Nakara Primary School,"35 Nakara Tce, Nakara, 0810, NT","35 Nakara Tce, Nakara, 0810, NT",nakara.primary@education.nt.gov.au,(08) 8927 9823,,
Nawarddeken Academy Manmoyi School,"Building 6, Mamadawerre & Manmoyi Community, tba, NT","tba, PO Box 37620 Winnellie  NT, 0821, NT",admin@nawarddeken.org.au,0427 816 431,,
Nawarddeken Academy Mamadawerre School,"Building 6, Mamadawerre & Manmoyi Community, tba, NT","tba, PO Box 37620 Winnellie  NT, 0821, NT",admin@nawarddeken.org.au,0427 816 431,,
Nakara Pre School,"35 Nakara Tce, Nakara, NT",", , , ",,(08) 8927 9823,,
Mutitjulu School,"Mutitjulu, Ayers Rock, NT","PO Box 121, Yulara, 0872, NT",mutitjulu.school@education.nt.gov.au,(08) 8956 2547,,
Murray Downs School,"Outstation, Murray Downs(Imangara), NT","PMB 48, Alice Springs, 0872, NT",mitchell.valentine@education.nt.gov.au,(08) 8964 1951,,
Murrupurtiyanuwu Catholic Primary School,"Kerinauia Highway, Wurrumiyanga NT 0822, NT","PO Box 45, Wurrumiyanga, Bathurst Island, via Winnellie, 0822, NT",admin.mcs@nt.catholic.edu.au,(08) 8978 3986,,
Moulden Pre School,"103 Bonson Tce, Moulden, NT",", , , ",,(08) 8930 5965,,
Mount Allan School,"N/A, Yuelamu, NT","PMB 67, Yuelamu via Alice Springs, 0872, NT",dowreen.lata@education.nt.gov.au,(08) 8956 8860,,
Mulga Bore School,"n/a, Mulga Bore Community, NT","PMB 18, via Alice Springs, 0872, NT",david.ward1@education.nt.gov.au,(08) 8956 9824,,
Moulden Primary School,"103 Bonson Tce, Moulden, 0830, NT","PO Box 80, PALMERSTON, 0831, NT",moulden.primary@education.nt.gov.au,(08) 8930 5900,,
Mother Teresa Catholic Primary School,"16 Ginger St, Zuccoli, NT","PO Box 1125, Palmerston, 0830, NT",principal.motherteresa@nt.catholic.edu.au,(08) 7969 5600,,
Moil Primary School,"37 Lanyon Tce, Moil, 0810, NT","37 Lanyon Tce, MOIL, 0810, NT",admin.moilsch@education.nt.gov.au,(08) 898 37530,,
Moil Pre School,"Moil Crescent, Moil, NT",", , , ",,(08) 898 37535,,
Mimik-Ga Centre,"4 Henbury Ave, Wanguri, 0810, NT","PO Box 40519, Casuarina, 0811, NT",admin.mimik-ga@education.nt.gov.au,(08) 898 37900,,
Minyerri School,"N/A, Minyerri (Hodgson Downs), NT","PMB 40, KATHERINE, 0851, NT",michelle.bennett@education.nt.gov.au,(08) 8975 9972,,
Milyakburra School,"N/A, Milyakburra (Bickerton Island), NT","PMB 5, Bickerton Island, via Winnellie, 0822, NT",angela.lawrence@education.nt.gov.au,(08) 8987 6084,,
Minyerri Pre School,"N/A, Minyerri (Hodgson Downs), NT",", , , ",,(08) 8975 9972,,
Millner Primary School,"41 Sabine Rd, Millner, 0810, NT","41 Sabine Rd, MILLNER, 0810, NT",admin.millnerps@education.nt.gov.au,(08) 792 30333,,
Millner Pre School,"41 Sabine Rd, Millner, NT",", , , ",,(08) 792 30333,,
Milkwood Steiner School,"94 Boulter Road, Berrimah, NT","PO Box 357, Berrimah, 0828, NT",admin@milkwood.nt.edu.au,08 8947 0608,,
Milingimbi School,"N/A, Milingimbi, 0822, NT","PMB 54, Milingimbi, via WINNELLIE, 0822, NT",adam.dicks1@education.nt.gov.au,(08) 8987 9902,,
Middle Point School,"615 Anzac Pde, Middle Point, NT","PO Box 96, Humpty Doo, 0836, NT",middle.pt@education.nt.gov.au,(08) 8988 1688,,
Marrara Christian College,"110 Amy Johnson Ave, Marrara, NT","PO Box 84, Karama, 0812, NT",admin.mcc@ntschools.net,(08) 8920 2000,,
Milikapiti School,"N/A, Milikapiti (Snake Bay), NT","PMB 96, via Winnellie, 0822, NT",craig.watkins@education.nt.gov.au,(08) 8978 3960,,
Mbunghara School,"N/A, Mbunghara, NT","PMB 242, via Alice Springs, 0872, NT",mbunghara.school@education.nt.gov.au,(08) 8956 8503,,
Mataranka School,"Roper Terrace, Mataranka, 0852, NT","PO Box 4022, Mataranka, 0852, NT",telka.zotz@education.nt.gov.au,(08) 8975 4543,,
Mapuru Yirralka College,"Dhabulu Road, Mapuru, NT 0822, NT","PMB 301, Winnellie, 0821, NT",principal@yirralka.nt.ed.au,(08) 8970 4994,,
Manyallaluk School,"N/A, Manyallaluk (Eva Valley), NT","PO Box 271, Katherine, 0851, Nt",admin.manyasch@education.nt.gov.au,(08) 8975 4438,,
Mamaruni School,"N/A, Minjilang (Croker Is), NT","PMB 47, via Winnellie, 0822, NT",jack.mcgrath@education.nt.gov.au,(08) 8979 0255,,
Maningrida College,"n/a, Maningrida, 0822, NT","PMB 67, via Winnellie, 0822, NT",maningrida.cec@education.nt.gov.au,(08) 8979 5950,,
Malak Primary School,"45 Malak Cres, Malak, 0812, NT","45 Malak Crescent, MALAK, 0812, NT",admin.malak@education.nt.gov.au,(08) 899 77600,,
Manunda Terrace Primary School,"31 Manunda Tce, Karama, 0812, NT","31 Manunda Tce, KARAMA, 0812, NT",manunda.school@education.nt.gov.au,(08) 899 77366,,
Manunda Terrace Pre School,"31 Manunda Tce, Karama, NT",", , , ",,(08) 899 77366,,
Malak Pre School,"45 Malak Cres, Malak, NT",", , , ",,(08) 899 77600,,
Mackillop Catholic College,"285 Farrar Boulevard, Johnston, NT","P O Box 2608, Palmerston, 0831, NT",mackillopcollege@nt.catholic.edu.au,08 8930 5757,,
MacFarlane Primary School,"42 Grevillea Rd, Katherine East, 0850, NT","42 Grevillea Road, KATHERINE EAST, 0850, NT",admin.macfasch@education.nt.gov.au,(08) 896 51700,,
MacFarlane Pre School,"Grevillea Rd, Katherine East, NT",", , , ",,(08) 8972 3069,,
Ludmilla Primary School,"41 Bagot Rd, Ludmilla, 0820, NT","PO Box 39945, WINNELLIE, 0821, NT",admin.ludmilla@education.nt.gov.au,(08) 898 37888,,
Ludmilla Pre School,"41 Bagot Rd, Ludmilla, NT",", , , ",,(08) 898 37889,,
Living Waters Lutheran School,"Corner Albrecht Drive and Kramer Street, Alice Springs, NT","PO Box 8869, Alice Springs, 0871, NT",lisa.goldsworthy@ntschools.net,(08) 8950 0700,,
Leanyer Primary School,"114 Leanyer Drive,, Leanyer, 0812, NT","114 Leanyer Drive, LEANYER, 0812, NT",admin.leanyer@education.nt.gov.au,(08) 8927 4022,,
Leanyer Pre School,"114 Leanyer Dr, Leanyer, NT",", , , ",,(08) 8927 4022,,
Laynhapuy Homelands School,"Galpu Rd, Yirrkala, NT","PMB 747, Nhulunbuy, 0881, NT",lhs.admin@ntschools.net,(08) 898 71224,,
Larrakeyah Primary School,"3 Packard St, Larrakeyah, 0820, NT","PO Box 412, DARWIN, 0801, NT",larrakeyah.admin@education.nt.gov.au,(08) 8981 3211,,
Laramba School,"N/A, Laramba (Napperby), NT","PMB 213, via Alice Springs, 0872, NT",laramba.school@education.nt.gov.au,(08) 8956 8771,,
Larrakeyah Pre School,"3 Packard St, Larrakeyah, NT",", , , ",,(08) 8981 9091,,
Larapinta Primary School,"22 Albrecht Dr, Alice Springs, NT","PO Box 9021, ALICE SPRINGS, 0871, NT",larapinta.primary@education.nt.gov.au,(08) 895 85155,,
Larapinta Pre School,"22 Albrecht Dr, Alice Springs, NT",", , , ",,(08) 895 85145,,
Lajamanu School,"N/A, Lajamanu ( Hooker Ck), NT","PMB 63, via Katherine, 0851, NT",admin.lajamcec@education.nt.gov.au,(08) 8975 0946,,
Lajamanu Pre School,"N/A, Lajamanu (Hooker Ck), NT",", , , ",,(08) 89750 946,,
Kintore Street School,"11 Kintore St, Katherine, 0872, NT","PO Box 1931, KATHERINE, 0851, NT",kintore.admin@education.nt.gov.au,(08) 8973 3888,,
Kintore Street Pre School,"11 Kintore St, Katherine, NT",", , , ",,(08) 8973 3888,,
Katherine South Primary School,"Riverbank Dr, Katherine, 0850, NT","PO Box 721, KATHERINE, 0851, NT",admin.kathesch@education.nt.gov.au,(08) 8972 1277,,
Katherine South Pre School,"Riverbank Drive, Katherine, NT",", , , ",,(08) 8972 1277,,
Kiana School,"N/A, Kiana, NT","PMB 33, via Tennanat Creek, 0861, NT",tba,(08) 8975 9820,,
